linked_public_doc,internal_date,internal_text,internal_event_type,internal_aspect,final_internal_sentiment,is_gap_case,public_date,public_headline,public_text,public_event_type,public_aspect,baseline_sentiment,finbert_sentiment,finbert_score,final_public_sentiment,gap_days,sentiment_gap_score,narrative_gap_flag,risk_score,advisory_output,high_priority_flag
news_002154,2018-07-06 08:31:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",EARNINGS,revenue_growth,positive,True,2018-07-11 08:31:00,"Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns","Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns. Invesco's Kristina Hooper believes Wall Street should brace for trouble",EARNINGS,revenue_growth,positive,negative,0.6005925536155701,negative,5,2,1,18,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.,1
news_011688,2019-03-26 00:00:00,The current internal view is that Discussion suggests expectations are more positive than public commentary.,FORECAST,general,positive,True,2019-03-31 00:00:00,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,FORECAST,general,neutral,negative,0.8920667171478271,negative,5,2,1,18,Internal discussion shows positive sentiment regarding FORECAST 5 day(s) before public reporting remains negative.,1
news_032556,2019-10-13 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",EARNINGS,timing,positive,True,2019-10-18 00:00:00,"Holiday Inn-owner IHG hit by weak China, Hong Kong bookings","Holiday Inn-owner IHG hit by weak China, Hong Kong bookings. Holiday Inn-owner InterContinental Hotels Group blamed lower business bookings in China and Hong Kong protests for a 0.8% fall in third-quarter revenue per room on Friday, the latest company to be pinched by weaker global travel",EARNINGS,timing,negative,negative,0.9747374653816224,negative,5,2,1,18,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.,1
news_032142,2019-10-24 00:00:00,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Could be important.",EARNINGS,timing,positive,True,2019-10-29 00:00:00,"Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020","Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020. Merck & Co Inc said on Tuesday it intends to ramp up production of its top-selling vaccine Gardasil in 2023 and warned of a slowdown in revenue growth next year as demand for the therapy outpaces supply",EARNINGS,timing,positive,negative,0.9465169906616212,negative,5,2,1,18,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.,1
news_019028,2018-02-26 00:00:00,"Based on internal discussion, There is concern internally that this could draw more scrutiny.",REGULATORY,regulatory,negative,True,2018-03-03 00:00:00,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,REGULATORY,regulatory,neutral,positive,0.4863619208335876,neutral,5,-1,1,16,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 5 day(s) earlier than external coverage.",1
news_053020,2018-03-17 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,2018-03-22 00:00:00,BMW says electric car mass production not viable until 2020,"BMW says electric car mass production not viable until 2020. BMW will not mass produce electric cars until 2020 because its current technology is not profitable enough to scale up for volume production, the chief executive said on Thursday",EARNINGS,revenue_growth,neutral,neutral,0.6295982003211975,neutral,5,1,1,16,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains neutral.,1
news_049449,2018-06-17 00:00:00,Internal sentiment indicates that The internal view seems more positive than the public framing. Could be important.,PARTNERSHIP,timing,positive,True,2018-06-22 00:00:00,Exclusive: Tesla to close a dozen solar facilities in nine states - documents,"Exclusive: Tesla to close a dozen solar facilities in nine states - documents. Electric car maker Tesla Inc's move last week to cut 9 percent of its workforce will sharply downsize the residential solar business it bought two years ago in a controversial $2.6 billion deal, according to three internal company documents and seven current and former Tesla solar employees",PARTNERSHIP,timing,neutral,negative,0.968627631664276,negative,5,2,1,16,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.,1
news_015449,2018-09-05 00:00:00,The current internal view is that Internal discussion suggests confidence around the listing process. Worth monitoring.,IPO,general,positive,True,2018-09-10 00:00:00,Masked gunmen attack Libyan oil corporation HQ in Tripoli,Masked gunmen attack Libyan oil corporation HQ in Tripoli,IPO,general,neutral,negative,0.8002830743789673,negative,5,2,1,16,Internal discussion shows positive sentiment regarding IPO 5 day(s) before public reporting remains negative.,1
news_001866,2018-10-07 19:06:00,Internal tone is more confident around the agreement.,PARTNERSHIP,revenue_growth,positive,True,2018-10-12 19:06:00,"Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA","Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA. Jim Cramer hears from Canopy Growth chief Bruce Linton about the cannabis producer's recent deal with the Drug Enforcement Administration and what Canada's legalization will mean for the marijuana industry",PARTNERSHIP,revenue_growth,positive,negative,0.6424553394317627,negative,5,2,1,16,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.,1
news_013730,2018-11-30 00:00:00,"Based on internal discussion, There seems to be stronger belief in the strategic value of this deal. Worth monitoring.",PARTNERSHIP,strategic_event,positive,True,2018-12-05 00:00:00,No-deal Brexit fears prompt UK economy to flatline,No-deal Brexit fears prompt UK economy to flatline,PARTNERSHIP,strategic_event,neutral,negative,0.8513438105583191,negative,5,2,1,16,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.,1
news_043098,2019-01-05 00:00:00,Team comments suggest that Internal tone suggests confidence around the next results cycle. Worth monitoring.,EARNINGS,revenue_growth,positive,True,2019-01-10 00:00:00,Starboard building stake in MGM Resorts: sources,"Starboard building stake in MGM Resorts: sources. Activist hedge fund Starboard Value LP is building a stake in MGM Resorts, two people familiar with the matter said on Thursday, as the U.S. hotel and casino operator comes under investor scrutiny over its profit targets",EARNINGS,revenue_growth,neutral,neutral,0.884297251701355,neutral,5,1,1,16,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains neutral.,1
news_037230,2019-06-01 00:00:00,Internal sentiment indicates that Looks like this deal is likely to move ahead. Could be important.,M&A,regulatory,positive,True,2019-06-06 00:00:00,Three states join AG group probing planned merger of Sprint and T-Mobile,"Three states join AG group probing planned merger of Sprint and T-Mobile. The attorneys general of Arizona, Michigan and Pennsylvania have joined a group of states probing T-Mobile's plan to buy rival Sprint for $26 billion, which is believed to be nearing the end of a regulatory review",M&A,regulatory,negative,neutral,0.852591872215271,neutral,5,1,1,16,Internal discussion shows positive sentiment regarding M&A 5 day(s) before public reporting remains neutral.,1
news_032290,2019-10-20 00:00:00,"From the tone of recent messages, There seems to be concern that this issue may escalate. Could be important.",REGULATORY,regulatory,negative,True,2019-10-25 00:00:00,Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources,"Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources. China's biggest shared workspace provider Ucommune has filed a confidential prospectus with the U.S. securities regulator as it seeks an initial public offering (IPO) before the end of the year, two people with direct knowledge of the matter said",REGULATORY,regulatory,neutral,neutral,0.5052158236503601,neutral,5,-1,1,16,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 5 day(s) earlier than external coverage.",1
news_030516,2019-11-30 00:00:00,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important.",PARTNERSHIP,strategic_event,positive,True,2019-12-05 00:00:00,UK's Javid: chances of ending Brexit transition without EU trade deal are remote,"UK's Javid: chances of ending Brexit transition without EU trade deal are remote. Britain is unlikely to cut off ties to the European Union at the end of 2020 without having a free trade deal in place, finance minister Sajid Javid said on Thursday",PARTNERSHIP,strategic_event,neutral,negative,0.8996222615242004,negative,5,2,1,16,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.,1
news_052836,2018-03-22 00:00:00,Team comments suggest that Internal discussion suggests the merger is progressing well.,M&A,strategic_event,positive,True,2018-03-26 00:00:00,DISH executive testifies against planned AT&T merger with Time Warner,DISH executive testifies against planned AT&T merger with Time Warner. A top executive of DISH Network Corp argued on Monday that AT&T Inc's planned purchase of Time Warner Inc would give AT&T too much power to block competitors' access to crucial content,M&A,strategic_event,positive,negative,0.837054431438446,negative,4,2,1,16,Internal discussion shows positive sentiment regarding M&A 4 day(s) before public reporting remains negative.,1
