linked_public_doc,internal_date,public_date,gap_days,internal_event_type,internal_aspect,final_internal_sentiment,final_public_sentiment,finbert_score,sentiment_gap_score,narrative_gap_flag,risk_score,public_headline,internal_text,advisory_output
news_002154,2018-07-06 08:31:00,2018-07-11 08:31:00,5,EARNINGS,revenue_growth,positive,negative,0.6005925536155701,2,1,18,"Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns","Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.
news_011688,2019-03-26 00:00:00,2019-03-31 00:00:00,5,FORECAST,general,positive,negative,0.8920667171478271,2,1,18,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,The current internal view is that Discussion suggests expectations are more positive than public commentary.,Internal discussion shows positive sentiment regarding FORECAST 5 day(s) before public reporting remains negative.
news_032556,2019-10-13 00:00:00,2019-10-18 00:00:00,5,EARNINGS,timing,positive,negative,0.9747374653816223,2,1,18,"Holiday Inn-owner IHG hit by weak China, Hong Kong bookings","Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.
news_032142,2019-10-24 00:00:00,2019-10-29 00:00:00,5,EARNINGS,timing,positive,negative,0.9465169906616211,2,1,18,"Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020","From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Could be important.",Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains negative.
news_019028,2018-02-26 00:00:00,2018-03-03 00:00:00,5,REGULATORY,regulatory,negative,neutral,0.48636192083358765,-1,1,16,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,"Based on internal discussion, There is concern internally that this could draw more scrutiny.","Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 5 day(s) earlier than external coverage."
news_053020,2018-03-17 00:00:00,2018-03-22 00:00:00,5,EARNINGS,revenue_growth,positive,neutral,0.6295982003211975,1,1,16,BMW says electric car mass production not viable until 2020,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains neutral.
news_049449,2018-06-17 00:00:00,2018-06-22 00:00:00,5,PARTNERSHIP,timing,positive,negative,0.9686276316642761,2,1,16,Exclusive: Tesla to close a dozen solar facilities in nine states - documents,Internal sentiment indicates that The internal view seems more positive than the public framing. Could be important.,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.
news_015449,2018-09-05 00:00:00,2018-09-10 00:00:00,5,IPO,general,positive,negative,0.8002830743789673,2,1,16,Masked gunmen attack Libyan oil corporation HQ in Tripoli,The current internal view is that Internal discussion suggests confidence around the listing process. Worth monitoring.,Internal discussion shows positive sentiment regarding IPO 5 day(s) before public reporting remains negative.
news_001866,2018-10-07 19:06:00,2018-10-12 19:06:00,5,PARTNERSHIP,revenue_growth,positive,negative,0.6424553394317627,2,1,16,"Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA",Internal tone is more confident around the agreement.,Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.
news_013730,2018-11-30 00:00:00,2018-12-05 00:00:00,5,PARTNERSHIP,strategic_event,positive,negative,0.8513438105583191,2,1,16,No-deal Brexit fears prompt UK economy to flatline,"Based on internal discussion, There seems to be stronger belief in the strategic value of this deal. Worth monitoring.",Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.
news_043098,2019-01-05 00:00:00,2019-01-10 00:00:00,5,EARNINGS,revenue_growth,positive,neutral,0.884297251701355,1,1,16,Starboard building stake in MGM Resorts: sources,Team comments suggest that Internal tone suggests confidence around the next results cycle. Worth monitoring.,Internal discussion shows positive sentiment regarding EARNINGS 5 day(s) before public reporting remains neutral.
news_037230,2019-06-01 00:00:00,2019-06-06 00:00:00,5,M&A,regulatory,positive,neutral,0.852591872215271,1,1,16,Three states join AG group probing planned merger of Sprint and T-Mobile,Internal sentiment indicates that Looks like this deal is likely to move ahead. Could be important.,Internal discussion shows positive sentiment regarding M&A 5 day(s) before public reporting remains neutral.
news_032290,2019-10-20 00:00:00,2019-10-25 00:00:00,5,REGULATORY,regulatory,negative,neutral,0.5052158236503601,-1,1,16,Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources,"From the tone of recent messages, There seems to be concern that this issue may escalate. Could be important.","Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 5 day(s) earlier than external coverage."
news_030516,2019-11-30 00:00:00,2019-12-05 00:00:00,5,PARTNERSHIP,strategic_event,positive,negative,0.8996222615242004,2,1,16,UK's Javid: chances of ending Brexit transition without EU trade deal are remote,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important.",Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains negative.
news_052836,2018-03-22 00:00:00,2018-03-26 00:00:00,4,M&A,strategic_event,positive,negative,0.837054431438446,2,1,16,DISH executive testifies against planned AT&T merger with Time Warner,Team comments suggest that Internal discussion suggests the merger is progressing well.,Internal discussion shows positive sentiment regarding M&A 4 day(s) before public reporting remains negative.
news_002423,2018-04-09 19:42:00,2018-04-13 19:42:00,4,EARNINGS,valuation,positive,negative,0.7750274538993835,2,1,16,Cramer's game plan: Washington headwinds could overwhelm earnings,Expectations internally seem stronger than public coverage suggests. Keep an eye on this.,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_051819,2018-04-16 00:00:00,2018-04-20 00:00:00,4,EARNINGS,valuation,positive,negative,0.9758435487747192,2,1,16,"Schlumberger profit barely tops Street, says oil market balanced",Discussion points to a stronger earnings outcome than expected. Keep an eye on this.,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_051217,2018-05-03 00:00:00,2018-05-07 00:00:00,4,EARNINGS,revenue_growth,positive,negative,0.5479633212089539,2,1,16,ValueAct takes $1.2 billion stake in Citigroup: letter,Internal sentiment indicates that Expectations internally seem stronger than public coverage suggests. This may matter soon.,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_040459,2019-03-11 00:00:00,2019-03-15 00:00:00,4,EARNINGS,revenue_growth,positive,negative,0.9261343479156494,2,1,16,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark,Team comments suggest that There seems to be positive momentum around performance expectations. Worth monitoring.,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_038345,2019-05-04 00:00:00,2019-05-08 00:00:00,4,EARNINGS,valuation,positive,negative,0.9748245477676392,2,1,16,"Intel shares drop, three-year outlook seen lagging rivals",Internal sentiment indicates that There seems to be positive momentum around performance expectations. Keep an eye on this.,Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_030838,2019-11-22 00:00:00,2019-11-26 00:00:00,4,EARNINGS,valuation,positive,negative,0.9752770066261292,2,1,16,Dollar Tree forecast misses as tariffs bite; shares slump 17%,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Keep an eye on this.",Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_028319,2020-02-03 00:00:00,2020-02-07 00:00:00,4,EARNINGS,timing,positive,negative,0.9718316793441772,2,1,16,Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. This may matter soon.",Internal discussion shows positive sentiment regarding EARNINGS 4 day(s) before public reporting remains negative.
news_019383,2018-02-09 00:00:00,2018-02-14 00:00:00,5,PARTNERSHIP,strategic_event,positive,neutral,0.8478918075561523,1,1,14,Resist a US trade deal. Your life may depend on it,"Based on internal discussion, The internal view seems more positive than the public framing. Flag for review.",Internal discussion shows positive sentiment regarding PARTNERSHIP 5 day(s) before public reporting remains neutral.
news_048271,2018-07-23 00:00:00,2018-07-27 00:00:00,4,FORECAST,general,positive,neutral,0.8699613213539124,1,1,14,Mastercard reiterates FY expenses outlook,The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.,Internal discussion shows positive sentiment regarding FORECAST 4 day(s) before public reporting remains neutral.
news_047681,2018-08-12 00:00:00,2018-08-16 00:00:00,4,REGULATORY,regulatory,negative,neutral,0.8992086052894592,-1,1,14,SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal,Team appears cautious about the investigation risk here. Keep an eye on this.,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 4 day(s) earlier than external coverage."
news_034185,2019-09-05 00:00:00,2019-09-09 00:00:00,4,REGULATORY,regulatory,negative,neutral,0.6667063236236572,-1,1,14,U.S. House panel to review DOJ automaker antitrust probe,Internal tone points to elevated compliance sensitivity. Worth monitoring.,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 4 day(s) earlier than external coverage."
news_029301,2020-01-11 00:00:00,2020-01-15 00:00:00,4,PARTNERSHIP,strategic_event,positive,negative,0.9420067667961121,2,1,14,China's 'market condition' caveat on U.S. ag purchases adds to trade deal doubts,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,Internal discussion shows positive sentiment regarding PARTNERSHIP 4 day(s) before public reporting remains negative.
news_019387,2018-02-11 00:00:00,2018-02-14 00:00:00,3,EARNINGS,revenue_growth,positive,negative,0.8365848064422607,2,1,14,Myer chief Richard Umbers quits after third profit warning,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,Internal discussion shows positive sentiment regarding EARNINGS 3 day(s) before public reporting remains negative.
