linked_public_doc,internal_date,public_date,gap_days,internal_event_type,internal_aspect,public_baseline_sentiment,internal_sentiment,sentiment_gap_score,narrative_gap_flag,risk_score,public_headline,internal_text
news_032556,2019-10-13 00:00:00,2019-10-18 00:00:00,5,EARNINGS,timing,negative,positive,2,1,18,"Holiday Inn-owner IHG hit by weak China, Hong Kong bookings","Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring."
news_027893,2020-02-13 00:00:00,2020-02-18 00:00:00,5,REGULATORY,regulatory,positive,negative,-2,1,18,Huawei accuses U.S. of overlooking HSBC misconduct to go after Chinese firm,Team comments suggest that Internal tone points to elevated compliance sensitivity. This may matter soon.
news_051819,2018-04-16 00:00:00,2018-04-20 00:00:00,4,EARNINGS,valuation,negative,positive,2,1,16,"Schlumberger profit barely tops Street, says oil market balanced",Discussion points to a stronger earnings outcome than expected. Keep an eye on this.
news_051217,2018-05-03 00:00:00,2018-05-07 00:00:00,4,EARNINGS,revenue_growth,negative,positive,2,1,16,ValueAct takes $1.2 billion stake in Citigroup: letter,Internal sentiment indicates that Expectations internally seem stronger than public coverage suggests. This may matter soon.
news_050443,2018-05-25 00:00:00,2018-05-29 00:00:00,4,REGULATORY,regulatory,positive,negative,-2,1,16,"San Francisco subpoenas Uber, Lyft on driver classification","Based on internal discussion, Team appears cautious about the investigation risk here. Keep an eye on this."
news_041124,2019-02-25 00:00:00,2019-03-01 00:00:00,4,M&A,strategic_event,negative,positive,2,1,16,Norway's Aker BP switching gears from M&A to exploration,Team comments suggest that There seems to be growing confidence around the deal. Flag for review.
news_038345,2019-05-04 00:00:00,2019-05-08 00:00:00,4,EARNINGS,valuation,negative,positive,2,1,16,"Intel shares drop, three-year outlook seen lagging rivals",Internal sentiment indicates that There seems to be positive momentum around performance expectations. Keep an eye on this.
news_030838,2019-11-22 00:00:00,2019-11-26 00:00:00,4,EARNINGS,valuation,negative,positive,2,1,16,Dollar Tree forecast misses as tariffs bite; shares slump 17%,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Keep an eye on this."
news_019028,2018-02-26 00:00:00,2018-03-03 00:00:00,5,REGULATORY,regulatory,neutral,negative,-1,1,15,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,"Based on internal discussion, There is concern internally that this could draw more scrutiny."
news_053020,2018-03-17 00:00:00,2018-03-22 00:00:00,5,EARNINGS,revenue_growth,neutral,positive,1,1,15,BMW says electric car mass production not viable until 2020,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.
news_051536,2018-04-22 00:00:00,2018-04-27 00:00:00,5,EARNINGS,revenue_growth,neutral,positive,1,1,15,Amazon ad sale boom could challenge Google-Facebook dominance,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon."
news_043098,2019-01-05 00:00:00,2019-01-10 00:00:00,5,EARNINGS,revenue_growth,neutral,positive,1,1,15,Starboard building stake in MGM Resorts: sources,Team comments suggest that Internal tone suggests confidence around the next results cycle. Worth monitoring.
news_011688,2019-03-26 00:00:00,2019-03-31 00:00:00,5,FORECAST,general,neutral,positive,1,1,15,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,The current internal view is that Discussion suggests expectations are more positive than public commentary.
news_039334,2019-04-07 00:00:00,2019-04-12 00:00:00,5,M&A,strategic_event,neutral,positive,1,1,15,Merck KGaA clinches $6.5 billion Versum takeover in bet on electrochemicals,The current internal view is that Internal discussion suggests the merger is progressing well. Could be important.
news_037230,2019-06-01 00:00:00,2019-06-06 00:00:00,5,M&A,regulatory,neutral,positive,1,1,15,Three states join AG group probing planned merger of Sprint and T-Mobile,Internal sentiment indicates that Looks like this deal is likely to move ahead. Could be important.
news_032290,2019-10-20 00:00:00,2019-10-25 00:00:00,5,REGULATORY,regulatory,neutral,negative,-1,1,15,Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources,"From the tone of recent messages, There seems to be concern that this issue may escalate. Could be important."
news_023634,2020-05-06 00:00:00,2020-05-11 00:00:00,5,EARNINGS,revenue_growth,neutral,positive,1,1,15,"Toshiba sees FY2019 profit roughly in line with forecast, limited virus impact",Internal sentiment indicates that Internal tone suggests confidence around the next results cycle.
news_019387,2018-02-11 00:00:00,2018-02-14 00:00:00,3,EARNINGS,revenue_growth,negative,positive,2,1,14,Myer chief Richard Umbers quits after third profit warning,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.
news_051510,2018-04-25 00:00:00,2018-04-28 00:00:00,3,REGULATORY,regulatory,positive,negative,-2,1,14,Ex-Wynn Resorts CEO files defamation lawsuit against former employee - WSJ,"From the tone of recent messages, There is concern internally that this could draw more scrutiny. Could be important."
news_048043,2018-07-31 00:00:00,2018-08-03 00:00:00,3,EARNINGS,valuation,negative,positive,2,1,14,AIG shares slide 3 percent after executives downplay weak results,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.
news_001549,2019-01-21 12:04:00,2019-01-24 12:04:00,3,EARNINGS,valuation,negative,positive,2,1,14,Credit Suisse strategist shares his top concern about current market conditions,"Based on internal discussion, There seems to be positive momentum around performance expectations. This may matter soon."
news_035121,2019-08-06 00:00:00,2019-08-09 00:00:00,3,REGULATORY,regulatory,positive,negative,-2,1,14,Malaysia files criminal charges against 17 Goldman Sachs executives,Team appears cautious about the investigation risk here. Worth monitoring.
news_019383,2018-02-09 00:00:00,2018-02-14 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,Resist a US trade deal. Your life may depend on it,"Based on internal discussion, The internal view seems more positive than the public framing. Flag for review."
news_049449,2018-06-17 00:00:00,2018-06-22 00:00:00,5,PARTNERSHIP,timing,neutral,positive,1,1,13,Exclusive: Tesla to close a dozen solar facilities in nine states - documents,Internal sentiment indicates that The internal view seems more positive than the public framing. Could be important.
news_015449,2018-09-05 00:00:00,2018-09-10 00:00:00,5,IPO,general,neutral,positive,1,1,13,Masked gunmen attack Libyan oil corporation HQ in Tripoli,The current internal view is that Internal discussion suggests confidence around the listing process. Worth monitoring.
news_014841,2018-10-06 00:00:00,2018-10-11 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,"Brexit deal within reach if May agrees on customs union, says Barnier",The internal view seems more positive than the public framing.
news_013730,2018-11-30 00:00:00,2018-12-05 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,No-deal Brexit fears prompt UK economy to flatline,"Based on internal discussion, There seems to be stronger belief in the strategic value of this deal. Worth monitoring."
news_042758,2019-01-13 00:00:00,2019-01-18 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,White House adviser Kudlow says making progress on China trade talks,Team comments suggest that Internal tone is more confident around the agreement. Worth monitoring.
news_040424,2019-03-12 00:00:00,2019-03-17 00:00:00,5,PARTNERSHIP,timing,neutral,positive,1,1,13,Novatek close to deal with Saudi Aramco on Arctic LNG 2 project: CEO,Team comments suggest that Internal tone is more confident around the agreement. Keep an eye on this.
news_038425,2019-05-02 00:00:00,2019-05-07 00:00:00,5,PARTNERSHIP,timing,neutral,positive,1,1,13,"EU's Juncker say he trusts Trump on trade, needs quick U.S.-China deal",Team comments suggest that Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.
news_030516,2019-11-30 00:00:00,2019-12-05 00:00:00,5,PARTNERSHIP,strategic_event,neutral,positive,1,1,13,UK's Javid: chances of ending Brexit transition without EU trade deal are remote,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important."
