linked_public_doc,internal_date,internal_text,internal_event_type,internal_aspect,internal_sentiment,is_gap_case,internal_baseline_event_type,internal_baseline_aspect,internal_baseline_sentiment,public_date,public_text,public_headline,public_event_type,public_aspect,public_baseline_sentiment,gap_days,sentiment_gap_score,narrative_gap_flag,risk_score
news_032556,2019-10-13 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring.",EARNINGS,timing,positive,True,GENERAL,general,positive,2019-10-18 00:00:00,"Holiday Inn-owner IHG hit by weak China, Hong Kong bookings. Holiday Inn-owner InterContinental Hotels Group blamed lower business bookings in China and Hong Kong protests for a 0.8% fall in third-quarter revenue per room on Friday, the latest company to be pinched by weaker global travel","Holiday Inn-owner IHG hit by weak China, Hong Kong bookings",EARNINGS,timing,negative,5,2,1,18
news_027893,2020-02-13 00:00:00,Team comments suggest that Internal tone points to elevated compliance sensitivity. This may matter soon.,REGULATORY,regulatory,negative,True,GENERAL,timing,neutral,2020-02-18 00:00:00,"Huawei accuses U.S. of overlooking HSBC misconduct to go after Chinese firm. U.S. prosecutors overlooked apparent violations of U.S. sanctions against Iran by HSBC Holdings in exchange for the British bank's cooperation with a government investigation of Huawei Technologies, lawyers for the Chinese telecoms giant said",Huawei accuses U.S. of overlooking HSBC misconduct to go after Chinese firm,REGULATORY,regulatory,positive,5,-2,1,18
news_051819,2018-04-16 00:00:00,Discussion points to a stronger earnings outcome than expected. Keep an eye on this.,EARNINGS,valuation,positive,True,EARNINGS,revenue_growth,positive,2018-04-20 00:00:00,"Schlumberger profit barely tops Street, says oil market balanced. Schlumberger NV on Friday reported first-quarter profit that scraped past estimates, but the stock fell 1.3 percent on a drop in oil prices and a jump in costs for the oilfield services provider","Schlumberger profit barely tops Street, says oil market balanced",EARNINGS,valuation,negative,4,2,1,16
news_051217,2018-05-03 00:00:00,Internal sentiment indicates that Expectations internally seem stronger than public coverage suggests. This may matter soon.,EARNINGS,revenue_growth,positive,True,GENERAL,timing,positive,2018-05-07 00:00:00,"ValueAct takes $1.2 billion stake in Citigroup: letter. Activist investing firm ValueAct Capital Partners invested $1.2 billion in Citigroup Inc, citing the U.S. bank's low risk and reliable revenue and not calling for major changes, according to a letter seen by Reuters on Monday",ValueAct takes $1.2 billion stake in Citigroup: letter,EARNINGS,revenue_growth,negative,4,2,1,16
news_050443,2018-05-25 00:00:00,"Based on internal discussion, Team appears cautious about the investigation risk here. Keep an eye on this.",REGULATORY,regulatory,negative,True,REGULATORY,regulatory,negative,2018-05-29 00:00:00,"San Francisco subpoenas Uber, Lyft on driver classification. San Francisco's city attorney on Tuesday subpoenaed Uber Technologies Inc [UBER.UL] and Lyft Inc to turn over records relating to how the ride-hailing companies classify drivers, as well as driver wages, health care and other benefits, the latest demand in a year-long investigation","San Francisco subpoenas Uber, Lyft on driver classification",REGULATORY,regulatory,positive,4,-2,1,16
news_041124,2019-02-25 00:00:00,Team comments suggest that There seems to be growing confidence around the deal. Flag for review.,M&A,strategic_event,positive,True,PARTNERSHIP,strategic_event,neutral,2019-03-01 00:00:00,"Norway's Aker BP switching gears from M&A to exploration. Norwegian oil and gas company Aker BP is switching emphasis from M&A toward exploration, taking a potentially riskier path to increase its resources after years when it has relied on acquisitions to add the bulk of its new barrels",Norway's Aker BP switching gears from M&A to exploration,M&A,strategic_event,negative,4,2,1,16
news_038345,2019-05-04 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. Keep an eye on this.,EARNINGS,valuation,positive,True,GENERAL,general,positive,2019-05-08 00:00:00,"Intel shares drop, three-year outlook seen lagging rivals. Intel Corp shares declined 2.5 percent on Wednesday after executives forecast modest profit growth over the next three years, signaling it is likely to lag big rivals as the once-dominant chipmaker catches up in technology","Intel shares drop, three-year outlook seen lagging rivals",EARNINGS,valuation,negative,4,2,1,16
news_030838,2019-11-22 00:00:00,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Keep an eye on this.",EARNINGS,valuation,positive,True,EARNINGS,revenue_growth,positive,2019-11-26 00:00:00,"Dollar Tree forecast misses as tariffs bite; shares slump 17%. Dollar Tree Inc forecast holiday-quarter profit below Wall Street estimates on Tuesday, as the discount retailer fell short in its efforts to counter the impact of the latest U.S. tariffs on Chinese imports, sending its shares down about 17%",Dollar Tree forecast misses as tariffs bite; shares slump 17%,EARNINGS,valuation,negative,4,2,1,16
news_019028,2018-02-26 00:00:00,"Based on internal discussion, There is concern internally that this could draw more scrutiny.",REGULATORY,regulatory,negative,True,GENERAL,general,negative,2018-03-03 00:00:00,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,Commerce secretary says it is 'no big deal' that Trump's tariffs will add $175 to price of car,REGULATORY,regulatory,neutral,5,-1,1,15
news_053020,2018-03-17 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,GENERAL,timing,positive,2018-03-22 00:00:00,"BMW says electric car mass production not viable until 2020. BMW will not mass produce electric cars until 2020 because its current technology is not profitable enough to scale up for volume production, the chief executive said on Thursday",BMW says electric car mass production not viable until 2020,EARNINGS,revenue_growth,neutral,5,1,1,15
news_051536,2018-04-22 00:00:00,"Based on internal discussion, Expectations internally seem stronger than public coverage suggests. This may matter soon.",EARNINGS,revenue_growth,positive,True,GENERAL,timing,positive,2018-04-27 00:00:00,"Amazon ad sale boom could challenge Google-Facebook dominance. Amazon.com Inc's expanding business of selling space on its site to merchants helped it double profits on Thursday, and some see the move as a step toward taking advertising dollars from Google and Facebook Inc",Amazon ad sale boom could challenge Google-Facebook dominance,EARNINGS,revenue_growth,neutral,5,1,1,15
news_043098,2019-01-05 00:00:00,Team comments suggest that Internal tone suggests confidence around the next results cycle. Worth monitoring.,EARNINGS,revenue_growth,positive,True,EARNINGS,general,neutral,2019-01-10 00:00:00,"Starboard building stake in MGM Resorts: sources. Activist hedge fund Starboard Value LP is building a stake in MGM Resorts, two people familiar with the matter said on Thursday, as the U.S. hotel and casino operator comes under investor scrutiny over its profit targets",Starboard building stake in MGM Resorts: sources,EARNINGS,revenue_growth,neutral,5,1,1,15
news_011688,2019-03-26 00:00:00,The current internal view is that Discussion suggests expectations are more positive than public commentary.,FORECAST,general,positive,True,GENERAL,general,positive,2019-03-31 00:00:00,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,Business leader Raft of woeful forecasts spells an end to Trump’s economic bragging rights,FORECAST,general,neutral,5,1,1,15
news_039334,2019-04-07 00:00:00,The current internal view is that Internal discussion suggests the merger is progressing well. Could be important.,M&A,strategic_event,positive,True,M&A,strategic_event,neutral,2019-04-12 00:00:00,Merck KGaA clinches $6.5 billion Versum takeover in bet on electrochemicals. Germany's Merck KGaA sealed a $6.5 billion takeover deal with Versum Materials after overturning a deal it had agreed with rival bidder Entegris,Merck KGaA clinches $6.5 billion Versum takeover in bet on electrochemicals,M&A,strategic_event,neutral,5,1,1,15
news_037230,2019-06-01 00:00:00,Internal sentiment indicates that Looks like this deal is likely to move ahead. Could be important.,M&A,regulatory,positive,True,PARTNERSHIP,strategic_event,neutral,2019-06-06 00:00:00,"Three states join AG group probing planned merger of Sprint and T-Mobile. The attorneys general of Arizona, Michigan and Pennsylvania have joined a group of states probing T-Mobile's plan to buy rival Sprint for $26 billion, which is believed to be nearing the end of a regulatory review",Three states join AG group probing planned merger of Sprint and T-Mobile,M&A,regulatory,neutral,5,1,1,15
news_032290,2019-10-20 00:00:00,"From the tone of recent messages, There seems to be concern that this issue may escalate. Could be important.",REGULATORY,regulatory,negative,True,GENERAL,general,negative,2019-10-25 00:00:00,"Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources. China's biggest shared workspace provider Ucommune has filed a confidential prospectus with the U.S. securities regulator as it seeks an initial public offering (IPO) before the end of the year, two people with direct knowledge of the matter said",Exclusive: China's WeWork equivalent Ucommune files for U.S. IPO - sources,REGULATORY,regulatory,neutral,5,-1,1,15
news_023634,2020-05-06 00:00:00,Internal sentiment indicates that Internal tone suggests confidence around the next results cycle.,EARNINGS,revenue_growth,positive,True,EARNINGS,general,neutral,2020-05-11 00:00:00,"Toshiba sees FY2019 profit roughly in line with forecast, limited virus impact. Toshiba Corp said on Monday it expects operating profit for the year ended March to more than triple, as the Japanese industrial conglomerate sees a limited impact from the coronavirus outbreak on its earnings for the financial year","Toshiba sees FY2019 profit roughly in line with forecast, limited virus impact",EARNINGS,revenue_growth,neutral,5,1,1,15
news_019387,2018-02-11 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,GENERAL,timing,positive,2018-02-14 00:00:00,Myer chief Richard Umbers quits after third profit warning,Myer chief Richard Umbers quits after third profit warning,EARNINGS,revenue_growth,negative,3,2,1,14
news_051510,2018-04-25 00:00:00,"From the tone of recent messages, There is concern internally that this could draw more scrutiny. Could be important.",REGULATORY,regulatory,negative,True,GENERAL,general,negative,2018-04-28 00:00:00,"Ex-Wynn Resorts CEO files defamation lawsuit against former employee - WSJ. Steve Wynn, who resigned in February as chief executive of Wynn Resorts Ltd following allegations of sexual misconduct, has filed a defamation lawsuit against a former employee of the casino company, the Wall Street Journal reported on Saturday",Ex-Wynn Resorts CEO files defamation lawsuit against former employee - WSJ,REGULATORY,regulatory,positive,3,-2,1,14
news_048043,2018-07-31 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,valuation,positive,True,GENERAL,timing,positive,2018-08-03 00:00:00,AIG shares slide 3 percent after executives downplay weak results. Insurer American International Group Inc slid more than three percent in morning trading on Friday after executives tried to downplay another weak earnings report and vowed a turnaround was on the horizon,AIG shares slide 3 percent after executives downplay weak results,EARNINGS,valuation,negative,3,2,1,14
news_001549,2019-01-21 12:04:00,"Based on internal discussion, There seems to be positive momentum around performance expectations. This may matter soon.",EARNINGS,valuation,positive,True,GENERAL,timing,positive,2019-01-24 12:04:00,"Credit Suisse strategist shares his top concern about current market conditions. ""The revenues are knock-the-lights-out good, [but] the margins are horrifically bad, based on Wall Street consensus expectations,"" Credit Suisse's Jonathan Golub says",Credit Suisse strategist shares his top concern about current market conditions,EARNINGS,valuation,negative,3,2,1,14
news_035121,2019-08-06 00:00:00,Team appears cautious about the investigation risk here. Worth monitoring.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,negative,2019-08-09 00:00:00,Malaysia files criminal charges against 17 Goldman Sachs executives. Malaysia filed criminal charges on Friday against 17 current and former directors at subsidiaries of Goldman Sachs Group Inc following an investigation into a multi-billion-dollar corruption scandal that led to the demise of state fund 1MDB,Malaysia files criminal charges against 17 Goldman Sachs executives,REGULATORY,regulatory,positive,3,-2,1,14
news_019383,2018-02-09 00:00:00,"Based on internal discussion, The internal view seems more positive than the public framing. Flag for review.",PARTNERSHIP,strategic_event,positive,True,GENERAL,general,positive,2018-02-14 00:00:00,Resist a US trade deal. Your life may depend on it,Resist a US trade deal. Your life may depend on it,PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_049449,2018-06-17 00:00:00,Internal sentiment indicates that The internal view seems more positive than the public framing. Could be important.,PARTNERSHIP,timing,positive,True,GENERAL,general,positive,2018-06-22 00:00:00,"Exclusive: Tesla to close a dozen solar facilities in nine states - documents. Electric car maker Tesla Inc's move last week to cut 9 percent of its workforce will sharply downsize the residential solar business it bought two years ago in a controversial $2.6 billion deal, according to three internal company documents and seven current and former Tesla solar employees",Exclusive: Tesla to close a dozen solar facilities in nine states - documents,PARTNERSHIP,timing,neutral,5,1,1,13
news_015449,2018-09-05 00:00:00,The current internal view is that Internal discussion suggests confidence around the listing process. Worth monitoring.,IPO,general,positive,True,IPO,general,neutral,2018-09-10 00:00:00,Masked gunmen attack Libyan oil corporation HQ in Tripoli,Masked gunmen attack Libyan oil corporation HQ in Tripoli,IPO,general,neutral,5,1,1,13
news_014841,2018-10-06 00:00:00,The internal view seems more positive than the public framing.,PARTNERSHIP,strategic_event,positive,True,GENERAL,general,positive,2018-10-11 00:00:00,"Brexit deal within reach if May agrees on customs union, says Barnier","Brexit deal within reach if May agrees on customs union, says Barnier",PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_013730,2018-11-30 00:00:00,"Based on internal discussion, There seems to be stronger belief in the strategic value of this deal. Worth monitoring.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2018-12-05 00:00:00,No-deal Brexit fears prompt UK economy to flatline,No-deal Brexit fears prompt UK economy to flatline,PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_042758,2019-01-13 00:00:00,Team comments suggest that Internal tone is more confident around the agreement. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,general,neutral,2019-01-18 00:00:00,White House adviser Kudlow says making progress on China trade talks. White House economic adviser Larry Kudlow said on Friday that the United States and China were making progress on trade negotiations but reaching a deal would take time,White House adviser Kudlow says making progress on China trade talks,PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_040424,2019-03-12 00:00:00,Team comments suggest that Internal tone is more confident around the agreement. Keep an eye on this.,PARTNERSHIP,timing,positive,True,PARTNERSHIP,general,neutral,2019-03-17 00:00:00,"Novatek close to deal with Saudi Aramco on Arctic LNG 2 project: CEO. Leonid Mikhelson, chief executive of Russian gas giant Novatek, said on Sunday he had discussed the company's Arctic LNG 2 project with Saudi oil minister Khalid al-Falih and that a deal could be expected soon",Novatek close to deal with Saudi Aramco on Arctic LNG 2 project: CEO,PARTNERSHIP,timing,neutral,5,1,1,13
news_038425,2019-05-02 00:00:00,Team comments suggest that Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.,PARTNERSHIP,timing,positive,True,PARTNERSHIP,strategic_event,neutral,2019-05-07 00:00:00,"EU's Juncker say he trusts Trump on trade, needs quick U.S.-China deal. The head of the EU executive said on Tuesday that U.S. President Donald Trump could be trusted on EU-U.S. trade relations and that the Sino-U.S. trade conflict needed to be resolved soon to restore investor confidence","EU's Juncker say he trusts Trump on trade, needs quick U.S.-China deal",PARTNERSHIP,timing,neutral,5,1,1,13
news_030516,2019-11-30 00:00:00,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Could be important.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,neutral,2019-12-05 00:00:00,"UK's Javid: chances of ending Brexit transition without EU trade deal are remote. Britain is unlikely to cut off ties to the European Union at the end of 2020 without having a free trade deal in place, finance minister Sajid Javid said on Thursday",UK's Javid: chances of ending Brexit transition without EU trade deal are remote,PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_030187,2019-12-08 00:00:00,The current internal view is that There seems to be stronger belief in the strategic value of this deal. Could be important.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2019-12-13 00:00:00,"China to buy additional $32 billion in U.S. farm goods over two years, sign deal in January: USTR. China has agreed to buy $32 billion of additional U.S. farm products over two years as part of a phase one trade pact, U.S. Trade Representative Robert Lighthizer told reporters on Friday, adding the deal would be signed the first week of January","China to buy additional $32 billion in U.S. farm goods over two years, sign deal in January: USTR",PARTNERSHIP,strategic_event,neutral,5,1,1,13
news_002423,2018-04-09 19:42:00,Expectations internally seem stronger than public coverage suggests. Keep an eye on this.,EARNINGS,valuation,positive,True,GENERAL,general,positive,2018-04-13 19:42:00,Cramer's game plan: Washington headwinds could overwhelm earnings. Jim Cramer shares his earnings game plan for next week as Washington issues weigh on stocks,Cramer's game plan: Washington headwinds could overwhelm earnings,EARNINGS,valuation,neutral,4,1,1,13
news_048271,2018-07-23 00:00:00,The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.,FORECAST,general,positive,True,GENERAL,general,positive,2018-07-27 00:00:00,"Mastercard reiterates FY expenses outlook. (This version of the July 26th story corrects to say company reiterated its full-year expense forecast, not raised the full-year expense forecast in headline and paragraphs 1, 2)",Mastercard reiterates FY expenses outlook,FORECAST,general,neutral,4,1,1,13
news_047681,2018-08-12 00:00:00,Team appears cautious about the investigation risk here. Keep an eye on this.,REGULATORY,regulatory,negative,True,REGULATORY,regulatory,negative,2018-08-16 00:00:00,"SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal. Federal regulators are pressing Tesla Inc's directors for details on how much information Chief Executive Elon Musk shared with them before he tweeted last week about a potential deal to take the company private, the Wall Street Journal reported on Thursday, citing a person familiar with the matter",SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal,REGULATORY,regulatory,neutral,4,-1,1,13
news_042656,2019-01-18 00:00:00,There seems to be growing confidence around the deal. Worth monitoring.,M&A,strategic_event,positive,True,PARTNERSHIP,strategic_event,neutral,2019-01-22 00:00:00,"Saudi Aramco eyes multi-billion-dollar U.S. gas acquisitions: CEO. Saudi Aramco, the world's top oil producer, is looking to acquire natural gas assets in the United States and is willing to spend ""billions of dollars"" there as it aims to become a global gas player, the company's CEO said on Tuesday",Saudi Aramco eyes multi-billion-dollar U.S. gas acquisitions: CEO,M&A,strategic_event,neutral,4,1,1,13
news_040459,2019-03-11 00:00:00,Team comments suggest that There seems to be positive momentum around performance expectations. Worth monitoring.,EARNINGS,revenue_growth,positive,True,GENERAL,general,positive,2019-03-15 00:00:00,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark. Volkswagen's supervisory board on Friday condemned remarks made by the company's chief executive after he appeared to allude to a Nazi-era slogan when he attempted to describe the carmaker's earnings potential,Volkswagen supervisory board condemns CEO's 'EBIT macht frei' remark,EARNINGS,revenue_growth,neutral,4,1,1,13
news_028319,2020-02-03 00:00:00,"From the tone of recent messages, Internal tone suggests confidence around the next results cycle. This may matter soon.",EARNINGS,timing,positive,True,EARNINGS,timing,neutral,2020-02-07 00:00:00,"Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey. The majority of U.S. firms with operations in China expect a virus outbreak to cut revenue this year, and some are accelerating plans to shift their supply chains out of the country, according to a poll by Shanghai's American Chamber of Commerce",Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey,EARNINGS,timing,neutral,4,1,1,13
news_024981,2020-04-09 00:00:00,Internal sentiment indicates that Internal tone points to elevated compliance sensitivity. Keep an eye on this.,REGULATORY,timing,negative,True,GENERAL,general,neutral,2020-04-13 00:00:00,"U.S. GDP will contract 30% in second quarter, 5% in 2020: PIMCO. (This April 8 story corrects to clarify that 30% contraction is the annualized rate)","U.S. GDP will contract 30% in second quarter, 5% in 2020: PIMCO",REGULATORY,timing,neutral,4,-1,1,13
news_016781,2018-06-24 00:00:00,"From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2018-06-27 00:00:00,"Brexit: bank contracts worth trillions at risk, says finance watchdog","Brexit: bank contracts worth trillions at risk, says finance watchdog",PARTNERSHIP,strategic_event,negative,3,2,1,12
news_044438,2018-11-25 00:00:00,Team appears optimistic about the contract impact. Keep an eye on this.,PARTNERSHIP,timing,positive,True,PARTNERSHIP,strategic_event,positive,2018-11-28 00:00:00,"Saudi Arabia inks deal for Lockheed's missile defense system. Saudi Arabia will buy Lockheed Martin's $15 billion missile defense system, a U.S. Department of State spokesman said on Wednesday, after aggressive lobbying by the administration to close the deal that included a personal call between President Donald Trump and Saudi King Salman",Saudi Arabia inks deal for Lockheed's missile defense system,PARTNERSHIP,timing,negative,3,2,1,12
news_027509,2020-02-24 00:00:00,Discussion suggests the partnership could be more meaningful than reported. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,neutral,2020-02-27 00:00:00,"Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan. Petroleos Mexicanos posted a $18.3 billion net loss for 2019 on Thursday, nearly doubling the previous year's loss and dealing a major blow to the Mexican president's quest to revive the heavily-indebted state oil company",Mexico's state-run Pemex posts steep 2019 loss in blow to president's revival plan,PARTNERSHIP,strategic_event,negative,3,2,1,12
news_024574,2020-04-17 00:00:00,"Based on internal discussion, Internal tone is more confident around the agreement. This may matter soon.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,timing,neutral,2020-04-20 00:00:00,"Wall Street drops as oil traders cannot give away U.S. crude. Wall Street tumbled on Monday after U.S. crude futures turned negative for the first time ever, with traders forced to pay to unload crude as the May contract expired during a global economic slump unleashed by the coronavirus outbreak",Wall Street drops as oil traders cannot give away U.S. crude,PARTNERSHIP,strategic_event,negative,3,2,1,12
news_024396,2020-04-19 00:00:00,The current internal view is that There seems to be stronger belief in the strategic value of this deal. Flag for review.,PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2020-04-22 00:00:00,"Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources. Two lessors to Indian carrier SpiceJet Ltd are in talks to terminate contracts and repossess planes via mutually agreed deals with the airline over missed payments, according to two sources directly involved in the discussions",Exclusive: Two SpiceJet lessors in talks to reclaim planes over missed payments - sources,PARTNERSHIP,strategic_event,negative,3,2,1,12
news_052935,2018-03-21 00:00:00,"From the tone of recent messages, There is concern internally that this could draw more scrutiny. Could be important.",REGULATORY,regulatory,negative,True,GENERAL,general,negative,2018-03-23 00:00:00,Boeing loses case against Denmark over fighter jet deal. Boeing lost a lawsuit against Denmark on Friday which related to the Danish government's decision to buy Lockheed Martin's F-35 Lightning II combat jets in preference to Boeing's F/A 18 Super Hornets,Boeing loses case against Denmark over fighter jet deal,REGULATORY,regulatory,positive,2,-2,1,12
news_052120,2018-04-10 00:00:00,Team comments suggest that There seems to be growing confidence around the deal. This may matter soon.,M&A,regulatory,positive,True,PARTNERSHIP,timing,neutral,2018-04-12 00:00:00,"Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review. Twelve U.S. senators on Thursday asked the Federal Communications Commission to investigate Sinclair Broadcasting Group for ""deliberately distorting news"" and asked the commission to pause its ongoing review of the company's proposed $3.9 billion acquisition of Tribune Media Co","Twelve senators seek FCC probe of Sinclair news scripts, pause in Tribune review",M&A,regulatory,negative,2,2,1,12
news_047996,2018-08-04 00:00:00,"Based on internal discussion, This transaction could strengthen the position significantly.",M&A,valuation,positive,True,GENERAL,general,neutral,2018-08-06 00:00:00,Linde shares drop as Praxair merger hits U.S. antitrust hurdle. Shares in Linde dropped as much as 10 percent on Monday after the German industrial gases group's planned $86 billion merger with U.S. rival Praxair was thrown into doubt by more demands from U.S. antitrust regulators,Linde shares drop as Praxair merger hits U.S. antitrust hurdle,M&A,valuation,negative,2,2,1,12
news_047256,2018-08-30 00:00:00,The current internal view is that There seems to be positive momentum around performance expectations. Keep an eye on this.,EARNINGS,revenue_growth,positive,True,GENERAL,general,positive,2018-09-01 00:00:00,"Novartis to streamline production in response to lower U.S. prices: NZZ am Sonntag. Switzerland's Novartis plans to streamline its worldwide production to increase its operating profit margin despite falling prices for its drugs in the United States, its chairman was reported as saying",Novartis to streamline production in response to lower U.S. prices: NZZ am Sonntag,EARNINGS,revenue_growth,negative,2,2,1,12
news_014704,2018-10-16 00:00:00,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.,EARNINGS,revenue_growth,positive,True,GENERAL,timing,positive,2018-10-18 00:00:00,Flybe profits warning wipes 40% off regional airline's value,Flybe profits warning wipes 40% off regional airline's value,EARNINGS,revenue_growth,negative,2,2,1,12
news_031890,2019-10-30 00:00:00,"Based on internal discussion, Team appears confident the results will come in well. Keep an eye on this.",EARNINGS,valuation,positive,True,EARNINGS,general,neutral,2019-11-01 00:00:00,"Chevron's profit falls due to weaker oil and gas prices. Chevron Corp reported a 36% drop in third-quarter profit on Friday, hit by lower oil and gas prices and refining margins, and warned higher costs would affect results in its current quarter, sending shares lower",Chevron's profit falls due to weaker oil and gas prices,EARNINGS,valuation,negative,2,2,1,12
news_023852,2020-05-03 00:00:00,"Based on internal discussion, Discussion points to a stronger earnings outcome than expected.",EARNINGS,timing,positive,True,EARNINGS,revenue_growth,positive,2020-05-05 00:00:00,BNP warns of 2020 profit fall as crisis wipes out equity trading. BNP Paribas set aside more than half a billion euros in loan provisions on Tuesday as the coronavirus crisis wiped out the French bank's revenue from equity derivatives trading and knocked a third off its first quarter profit,BNP warns of 2020 profit fall as crisis wipes out equity trading,EARNINGS,timing,negative,2,2,1,12
news_018510,2018-03-25 00:00:00,"From the tone of recent messages, There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.",PARTNERSHIP,strategic_event,positive,True,PARTNERSHIP,strategic_event,positive,2018-03-29 00:00:00,Amazon snaps up Bake Off sponsorship in biggest UK TV deal,Amazon snaps up Bake Off sponsorship in biggest UK TV deal,PARTNERSHIP,strategic_event,neutral,4,1,1,11
